; Elemental composition and isotopic abundances, as of 2001-02-27 
;
; Source of Data: 
; Coursey, J. S. and Dragoset, R. A. (2000). Atomic Weights and Isotopic Compositions (version 2.1). 
; http://physics.nist.gov/Compositions [2001, February 27]. 
; National Institute of Standards and Technology, Gaithersburg, MD.
; Originally published as:
; R. D. Vocke, Jr., Atomic Weights of the Elements 1997, Pure Appl. Chem., 71(8), 1593 (1999)
; K.J.R. Rosman and P.D.P. Taylor, Isotopic Compositions of the Elements 1997, J. Phys. Chem. Ref. Data, 27(6), 1275 (1998)
; G. Audi and A. H. Wapstra, The 1995 Update To The Atomic Mass Evaluation, Nuclear Physics A, 595(4), 409 (1995). 
;
; The IUPAC's biennial review of atomic weight determinations warranted no changes to the standard atomic weights 
; from that published in Atomic Weights of the Elements 1995 other than a change to the footnote for Lithium. 
; -- R. D. Vocke, Jr., Atomic Weights of the Elements 1997, Pure Appl. Chem., 71(8), 1593 (1999). 
;
;atw	sym	mass	%RA		Valence
1	H	1.0078250321	99.9850	1
2	D	2.0141017780	0.0115	1
3	T	3.0160492675	0	1
3	[3]He	3.0160293097	0.000137	0
4	He	4.0026032497	99.999863	0
6	[6]Li	6.0151223	7.59	1
7	Li	7.0160040	92.41	1
9	Be	9.0121821	100	2
10	[10]B	10.0129370	19.9	3
11	B	11.0093055	80.1	3
12	C	12.0000000	98.93	4
13	[13]C	13.0033548378	1.07	4
14	N	14.0030740052	99.632	3
15	[15]N	15.0001088984	0.368	3
16	O	15.9949146221	99.757	2
17	[17]O	16.99913150	0.038	2
18	[18]O	17.9991604	0.205	2
19	F	18.99840320	100	1
20	Ne	19.9924401759	90.48	0
21	[21]Ne	20.99384674	0.27	0
22	[22]Ne	21.99138551	9.25	0
23	Na	22.98976967	100	1
24	Mg	23.98504190	78.99	2
25	[25]Mg	24.98583702	10.00	2
26	[26]Mg	25.98259304	11.01	2
27	Al	26.98153844	100	3
28	Si	27.9769265327	92.2297	4
29	[29]Si	28.97649472	4.6832	4
30	[30]Si	29.97377022	3.0872	4
31	P	30.97376151	100	3
32	S	31.97207069	94.93	2
33	[33]S	32.97145850	0.76	2
34	[34]S	33.96786683	4.29	2
36	[35]S	35.96708088	0.02	2
35	Cl	34.96885271	75.78	1
37	[37]Cl	36.96590260	24.22	1
36	Ar	35.96754628	0.3365	0
38	[38]Ar	37.9627322	0.0632	0
40	Ar	39.962383123	99.6003	0
39	K	38.9637069	93.2581	1
40	[40]K	39.96399867	0.0117	1
41	[41]K	40.96182597	6.7302	1
40	Ca	39.9625912	96.941	2
42	[42]Ca	41.9586183	0.647	2
43	[43]Ca	42.9587668	0.135	2
44	[44]Ca	43.9554811	2.086	2
46	[46]Ca	45.9536928	0.004	2
48	[47]Ca	47.952534	0.187	2
45	Sc	44.9559102	100	3
46	[46]Ti	45.9526295	8.25	2
47	[47]Ti	46.9517638	7.44	2
48	Ti	47.9479471	73.72	2
49	[49]Ti	48.9478708	5.41	2
50	[50]Ti	49.9447921	5.18	2
50	[50]V	49.9471628	0.250	2
51	V	50.9439637	99.750	2
50	[50]Cr	49.9460496	4.345	2
52	Cr	51.9405119	83.789	2
53	[53]Cr	52.9406538	9.501	2
54	[54]Cr	53.9388849	2.365	2
55	Mn	54.9380496	100	2
54	[54]Fe	53.9396148	5.845	2
56	Fe	55.9349421	91.754	2
57	[57]Fe	56.9353987	2.119	2
58	[58]Fe	57.9332805	0.282	2
59	Co	58.9332002	100	2
58	Ni	57.9353479	68.0769	3
60	[60]Ni	59.9307906	26.2231	3
61	[61]Ni	60.9310604	1.1399	3
62	[62]Ni	61.9283488	3.6345	3
64	[63]Ni	63.9279696	0.9256	3
63	Cu	62.9296011	69.17	2
65	[65]Cu	64.9277937	30.83	2
64	Zn	63.9291466	48.63	2
66	[66]Zn	65.9260368	27.90	2
67	[67]Zn	66.9271309	4.10	2
68	[68]Zn	67.9248476	18.75	2
70	[70]Zn	69.925325	0.62	2
69	Ga	68.925581	60.108	3
71	[71]Ga	70.9247050	39.892	3
70	[70]Ge	69.9242504	20.84	2
72	[72]Ge	71.9220762	27.54	2
73	[73]Ge	72.9234594	7.73	2
74	[74]Ge	73.9211782	36.28	2
76	[76]Ge	75.9214027	7.61	2
75	As	74.9215964	100	0
74	[74]Se	73.9224766	0.89	4
76	[76]Se	75.9192141	9.37	4
77	[77]Se	76.9199146	7.63	4
78	[78]Se	77.9173095	23.77	4
80	Se	79.9165218	49.61	4
82	[82]Se	81.9167000	8.73	4
79	Br	78.9183376	50.69	1
81	[81]Br	80.916291	49.31	1
78	[78]Kr	77.920386	0.35	0
